"Pais","Region","Superficie_km2","Poblacion_Miles_2017","Poblacion_Denskm2_2017.","SexoProporcionMpor100F_2017.","PIB_millonesUSD","PIB_crecimientoAnual","PIB_PerCapita","Economia_PorcentajeAgricola","Economia_PorcentajeIndustria","Empleados_PorcentajeAgricola","Empleados_PorcentajeIndustria","Desempleo_PorcentajePob","IndiceProduccionAgricola","IndiceProducionAlimentaria","ComercioIntExportacion_millonesUSD","ComercioIntImportacion_millonesUSD","CrecimientoPoblacion_TasaAnual","PoblacionUrbana_Porcentaje","CrecimientoPobUrbana_TasaAnual","TasaFertilidac_NacVivosMujer","MortalidadInfantil_porMilNac","GastoSalud_PIB","medicos_porMilpoblacion","GastoEducacion_PIB","participacionLaboralFem","participacionLaboralMasc","EducPrimariaTasaFem","EducPrimariaTasaMasc","EducSecundariaTasaFem","EducSecundariaTasaMasc","EducTerciariaTasaFem","EducTerciariaTasaMasc","AccesoAguaMejorPobUrbana","AccesoAguaMejorPobRural","EsperanzaVidaFem","EsperanzaVidaMasc","PorcentPoblacionJoven","PorcentPoblacionVieja","MigracionNum","MigracionPorcentaje"
"Greece","SouthernEurope",131957,11160,86.6,96.9,194860,-0.2,17788,4.1,15.7,12.9,15,23,86,87,27811,47595,-0.4,78,0.5,1.3,3.3,8.1,6.3,NA,44.1,60.1,97.1,98.1,103.4,109.5,67.3,6.1,99.2,98.1,83.3,78,14.2,26.5,1242.5,11.3
"Greenland","NorthernAmerica",2166086,56,0.1,112.1,2078,0.3,36976.7,10,15.9,4.6,12.6,9.7,99,99,553,623,-0.1,86.4,0.7,2,-99,-99,-99,-99,-99,NA,-99,NA,-99,NA,0.5,9,100,100,73.4,68.7,21,13.2,6,10.7
"Grenada","Caribbean",345,108,317.1,100.9,954,6.2,8933.8,8.3,13.9,-99,-99,NA,103,103,30,350,0.4,35.6,0.3,2.2,9.6,6.1,NA,NA,-99,NA,102.9,106.8,99,99.4,0.2,2.3,97.5,98.3,75.6,70.8,26.3,10.5,7.1,6.6
"Guadeloupe","Caribbean",1705,450,266,86.4,-99,-99,-99,-99,-99,3.3,13.5,26.1,100,100,-99,-99,NA,98.4,0.5,2,5.8,-99,-99,-99,49.6,56.5,-99,NA,-99,NA,2.6,5.5,97,89.5,84,76.8,18.6,23.6,98.5,21
"Guam","Micronesia",549,164,304.1,102.6,-99,-99,-99,-99,-99,0.2,14,10.7,88,88,-99,-99,0.3,94.5,1.4,2.4,9.6,-99,-99,-99,55.2,68.7,-99,NA,-99,NA,-99,NA,89.8,89.8,81.5,76.4,24.7,14,76.1,44.8
"Guatemala","CentralAmerica",108889,16914,157.8,96.9,63794,4.1,3903.5,10.8,27.2,32,18.5,2.4,158,158,10572,16987,2.1,51.6,3.4,3.2,26.9,6.2,NA,3,41.7,84,99.8,103.8,63.3,67.9,18.3,1.1,77.5,49.3,75.6,69.2,35.1,6.9,76.4,0.5
"Guinea-Bissau","WesternAfrica",36125,1861,66.2,96.9,978,4.8,530,45,14.5,60.1,5.8,6.5,137,138,885,212,2.6,49.3,4.1,4.9,80.4,5.6,NA,2.2,67.4,78.5,NA,NA,NA,NA,0.3,0.1,33.5,8.5,57.7,54.3,41.5,4.9,22.3,1.2
"Guinea","WesternAfrica",245857,12717,51.8,100.6,8875,0.1,703.9,19.8,32.8,69.7,7.4,6.8,130,131,1753,2082,2.3,37.2,3.8,5.1,65.7,5.6,NA,3.2,79.4,85.1,83.8,98.6,30.7,46.8,2.4,0.2,34.1,11.8,58.4,57.4,42.3,5.2,228.4,1.8
"Guyana","SouthAmerica",214969,778,4,101.9,3282,3.1,4278.8,17.6,31.7,18.4,25.4,11.3,142,143,1453,1625,0.6,28.6,0.8,2.6,33.2,5.2,NA,3.2,41.9,77,83.9,86.9,89,89.7,2,2.6,87.9,82,68.6,64,29,8.6,15.4,2
"Haiti","Caribbean",27750,10981,398.4,97.8,8501,1.7,793.7,16.7,38.2,46.9,12.6,12.9,163,166,984,3316,1.4,58.6,3.8,3.1,46.9,7.6,-99,-99,62,71.7,-99,NA,-99,NA,2.9,0.3,33.6,19.2,64.4,60.2,33,7.3,39.5,0.4
